Model number,type,Status,EAN,Description,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Finish,Dimensions,Installation,Motor,Max Airflow,Noise rating,Illumination,Speeds,Delay stop,Supplied Accessories,Optional Accessories,Ducting Options,Power,Warranty
SHW1270X,WallmountRangehood,Active,8026493058832,120cm Wallmount  T shape rangehood,Stainless steel,High air extraction,Low noise,, ,stainless steel,1200mmW x 450mmD x 765-1180mmH,wallmount,1 x 195W Brushless,840mł/hr (IEC 61591),40-63 dBA (IEC 60704-3),2 x 2.5W LED,four,"Yes, 5 minute timer",4 x stainless steel filters,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHW970X,WallmountRangehood,Active,8026493058825,90cm Wallmount  T shape rangehood,Stainless steel,High air extraction,Low noise,,,stainless steel,900mmW x 450mmD x 765-1180mmH,wallmount,1 x 195W Brushless,840mł/hr (IEC 61591),40-63 dBA (IEC 60704-3),2 x 2.5W LED,four,"Yes, 5 minute timer",3 x stainless steel filters,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHW181X90,WallmountRangehood,Active,8026493058641,90cm Wallmount  T shape rangehood,Stainless steel,High air extraction,Low noise,,,stainless steel,900mm W x 450mm D x 756mm-1180mm H maximum,wallmount,1 x 250W,750mł/hr (IEC 61591),59-66dBA (IEC 60704-3),2 x 2.5W LED,three + intensive,"Yes, 5 minute timer",3 x stainless steel grease filters,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
K3039P,WallmountRangehood,Active,8026493058702,90cm Wallmount canopy rangehood,stainless steel & rail,High air extraction,Low noise,,,stainless steel & rail,900mmW x 500mmD x 830mmH maximum,wallmount,1 x 250W,800mł/hr (IEC 61591),52-70dBA (IEC 60704-3),2 x 2.5W LED,four,,3 x stainless steel grease filter,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHW181X70,WallmountRangehood,Active,8026493058634,70cm Wallmount T shape rangehood,Stainless steel,High air extraction,Low noise,,,stainless steel,700mm W x 450mm D x 1180mm H maximum,wallmount,1 x 250W,750mł/hr (IEC 61591),59-66dBA (IEC 60704-3),2 x 2.5W LED,three + intensive,"Yes, 5 minute timer",2 x stainless steel filters,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHW181X60,WallmountRangehood,Active,8026493058627,60cm Wallmount T shape rangehood,Stainless steel,High air extraction,Low noise,,,satin stainless steel,600mm W x 450mm D x 1180mm H maximum,wallmount,1 x 250W,750mł/hr (IEC 61591),59-66dBA (IEC 60704-3),2 x 2.5W LED,three + intensive,"Yes, 5 minute timer",2 x stainless steel grease filters,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHWG910X,WallmountRangehood,Active,9345025000989,90cm Wallmount rangehood with curved glass,Curved glass canopy,Centrifugal motor,Low noise,,,stainless steel,898mmW x  850–1050mm H x 490mmD,wallmount,1 x 250W,690mł/hr (IEC 61591),45–68 dBA (IEC 60704-3),2 x 20W halogen,four,n/a,2 x aluminium grease filters,charcoal filter part # KITFC161,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHW920X,WallmountRangehood,Active,9345025000712,90cm Wallmount  T shape rangehood,Stainless steel,Centrifugal motor,Low noise,,,stainless steel,898mmW x 730–1000mmH x 470mmD,wallmount,1 x 250W,690mł/hr (IEC 61591),45–68 dBA (IEC 60704–3),2 x 20W halogen,four,n/a,3 x aluminium grease filters,charcoal filter part # KITFC161,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz. 10A (3-pin plug)",two years parts and labour
K7588ASC,WallmountRangehood,Active,N/A,90cm Wallmount rangehood with glass,Stainless steel and crystal glass,ASC Sensor control,Very low noise,Delay stop,,stainless steel & crystal glass,900mm W x 500mm D x 1235mm H maximum,wall mount,1 x 250W,750mł/hr (IEC 61591),40–59 dBA (IEC 60704-3),2 x 20W halogen,four,"five-minute delay stop, fan and lights",2 x stainless steel grease filters,charcoal filter part # 08999802,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SA940CXA,WallmountRangehood,Active,9345025000361,90cm Wallmount Rangehood,Stainless steel,High air extraction,Very low noise,,,stainless steel,898mmW x 500mmD x 1080mmH maximum,wallmount,1 x 198W,900mł/hr (IEC 61591),62 dBA maximum,1 x 7W strip LED,three,,"3 x baffle filters, 3 x stainless steel honeycomb filter","Half wall plate 900mmW x 650mmH, #14202, Full wall plate","duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SA950CXA,WallmountRangehood,Active,9345025000446,90cm Wallmount Rangehood with curved glass,stainless steel and 8mm glass,High air extraction,Very low noise,,,stainless steel and 8mm glass,900mmW x 480mmD x 830mmH maximum,wallmount,1 x 138W,910mł/hr (IEC 61591),58 dBA maximum,2 x 2W LED,three,n/a,1 x stainless steel grease filter,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz,10A (3-pin plug)",two years parts and labour
SA900CXB,WallmountRangehood,Active,9345025000392,90cm Wallmount rangehood,Stainless steel,High air extraction,Low noise,Centrifugal motor,,stainless steel,898mmW x 500mmD x 1080mmH maximum,wallmount,1 x 198W,,,,three,,,"Half wall plate 900mmW x 650mmH #14202, Full wall plate",,,two years parts and labour
SHW800B,WallmountRangehood,Active,9345025000903,80cm Wallmount Curved Front black glass rangehood,Black glass curved front,Very high air extraction,Low noise,Intensive function,24 hour continuous air renewal,stainless steel/black glass,798mmW x 1145-1625mmH x 350mmD,wallmount,1 x 260W,910mł/hr (IEC 61591),42-66 dBA (IEC60704-3),2 x 3W LED,nine,,3 x aluminium grease filters,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHB900X,WallmountRangehood,Active,9345025000835,90cm Wallmount box rangehood,Stainless steel box design,Intensive function,Low noise, ,,stainless steel,898mmW x 420mmD x 890mmH,wallmount,1 x 250W,710mł/hr (IEC 61591),43–65 dBA (IEC 60704-3),2 x 20W halogen,three,n/a,1 x aluminium grease filter,charcoal filter part # KITFC161,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHW900B,WallmountRangehood,Active,9345025000699,90cm Wallmount  T shape rangehood,Stainless steel and black mirror glass,Touch Control,Low noise,,,stainless steel/black mirror glass,898mmW x 730–1000mmH x 470mmD,wallmount,1 x 250W,690mł/hr (IEC 61591),45–68 dBA (IEC 60704-3),2 x 20W halogen,four,n/a,3 x aluminium grease filters,charcoal filter part # KITFC161,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHW910X,WallmountRangehood,Active,9345025000705,90cm Wallmount canopy rangehood,Stainless steel,High air extraction,Low noise,,,stainless steel,898mmW x  740–1140mm H x 490mmD,wallmount,1 x 250W,920mł/hr (IEC 61591),52–71 dBA (IEC 60704-3),2 x 20W halogen globes,four,n/a,n/a,charcoal filter part #112.0157.240,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHB600X,WallmountRangehood,Active,9345025000828,60cm Wallmount box rangehood,Stainless steel box design,Intensive function,Low noise,,,stainless steel,598mmW x 420mmD x 890mmH,wallmount,1 x 250W,710mł/hr (IEC 61591),43–65 dBA (IEC 60704-3),2 x 20W halogen,four,n/a,1 x aluminium grease filter,"charcoal filter, part # KITFC161","duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHB450X,WallmountRangehood,Active,9345025000811,45cm Wallmount box rangehood,Stainless steel box design,Intensive function,Low noise,,,stainless steel,448mmW x 420mmD x 890mmH,wallmount,1 x 250W,710mł/hr (IEC 61591),43–65 dBA (IEC 60704-3),2 x 20W halogen,four,n/a,1 x aluminium grease filter,"charcoal filter, part # KITFC161","duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
SHW410X,WallmountRangehood,Active,9345025000682,37cm Wallmount Cylindrical rangehood,Stainless steel designer piece,Intensive function,Low noise,,,stainless steel,370mm diameter x 890mm H,wallmount,1 x 250W,620mł/hr (IEC 61591),47–65 dBA (IEC 60704-3),2 x 20W halogen,four,n/a,1 x aluminium grease filter,"charcoal filter, part # KITFC161","duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
K181X90,WallmountRangehood,,,,,,,,,stainless steel,900mm W x 496mm D x 1190mm H maximum,wallmount,1 x 190W,590mł/hr (IEC 61591),29–50 dBA (IEC 60704-3),2 x 20W halogen,three,n/a,3 x stainless steel grease filters,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
K181X60,WallmountRangehood,,,,,,,,,satin stainless steel,600mm W x 496mm D x 1190mm H maximum,wallmount,1 x 190W,590mł/hr (IEC 61591),29–50 dBA (IEC 60704-3),2 x 20W halogen,three,n/a,2 x stainless steel grease filters,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
K181X70,WallmountRangehood,,,,,,,,,Stainless steel,700mm W x 496mm D x 1190mm H maximum,wall mount,1 x 190W,590mł/hr (IEC 61591),29–50 dBA (IEC 60704-3),2 x 20W halogen,three,n/a,2 x stainless steel grease filters,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
POLARB90,WallmountRangehood,,,90cm Wallmount rangehood,Stainless steel and black glass,Perimeter extraction,Very low noise,,,stainless steel and coloured glass,n/a,wallmount,n/a,800mł/hr (IEC 61591),41–60 dBA (IEC 60704-3),2 x 20W halogen,four,n/a,3 x aluminium grease filters,charcoal filter part # 08999802,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
K39L,WallmountRangehood,,,,,,,,,stainless steel & rail,900mmW x 480mmD x 830mmH maximum,wallmount,1 x 138W,910mł/hr (IEC 61591),58 dBA maximum,2 x 20W halogen,three,n/a,3 x stainless steel grease filter,,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
