Model number,Type,Status,EAN,Description,Aesthetic,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions,Finish,Total functions,Auto menus,device Display,Capacity,Cooking levels,Thermostat,Water tank capacity,Microwave power,Installation,Programmability,Cleaning,Lighting,Supplied accessories,Optional accessories,Safety,Power,Warranty,Notes,Function list
SFA4140MC,LinearCompact,Active,8017709213671,60cm Linear Compact Speed oven,Linear,Speed,SmartSense Plus - 50 auto menus + 10 personal programs,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"18 incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,Colour Touch TFT,50L,3,50 - 250ºC,,1000W,Built-in,Fully programmable,Vapour Clean,2 x 40 Watt halogen,"1 x Chrome grill insert,1 x Chrome shelves,1 x Glass tray,1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Soft Close door, thermal protection system, child safety lock,
controls lock","220–240V, 50/60Hz,3100W,16A current",Two years parts and labour,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Microwave,Microwave Grill,Microwave Fan Forced,Microwave Static Fan,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA4140MCB,LinearCompact,Active,8017709214241,60cm Linear Compact Speed oven,Linear,Speed,SmartSense Plus - 50 auto menus + 10 personal programs,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"18 incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,Colour Touch TFT,50L,3,50 - 250ºC,,1000W,Built-in,Fully programmable,Vapour Clean,2 x 40 Watt halogen,"1 x Chrome grill insert,1 x Chrome shelves,1 x Glass tray,1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Soft Close door, thermal protection system, child safety lock,
controls lock","220–240V, 50/60Hz,3100W,16A current",Two years parts and labour,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Microwave,Microwave Grill,Microwave Fan Forced,Microwave Static Fan,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA4140MCN,LinearCompact,Active,8017709214258,60cm Linear Compact Speed oven,Linear,Speed,SmartSense Plus - 50 auto menus + 10 personal programs,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"18 incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,Colour Touch TFT,50L,3,50 - 250ºC,,1000W,Built-in,Fully programmable,Vapour Clean,2 x 40 Watt halogen,"1 x Chrome grill insert,1 x Chrome shelves,1 x Glass tray,1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Soft Close door, thermal protection system, child safety lock,
controls lock","220–240V, 50/60Hz,3100W,16A current",Two years parts and labour,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Microwave,Microwave Grill,Microwave Fan Forced,Microwave Static Fan,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA4130MC,LinearCompact,Active,8017709213688,60cm Linear Compact Speed oven,Linear,Speed,SmartSense Plus - 50 auto menus + 10 personal programs,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"18 incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,TFT,50L,3,50 - 250ºC,,1000W,Built-in,Fully programmable,Vapour Clean,2 x 40 Watt halogen,"1 x Chrome grill insert,1 x Chrome shelves,1 x Glass tray,1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Soft Close door, thermal protection system, child safety lock,
controls lock","220–240V, 50/60Hz,3100W,16A current",Two years parts and labour,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Microwave,Microwave Grill,Microwave Fan Forced,Microwave Static Fan,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA4130MCB,LinearCompact,Active,8017709214227,60cm Linear Compact Speed oven,Linear,Speed,SmartSense Plus - 50 auto menus + 10 personal programs,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"18 incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,TFT,50L,3,50 - 250ºC,,1000W,Built-in,Fully programmable,Vapour Clean,2 x 40 Watt halogen,"1 x Chrome grill insert,1 x Chrome shelves,1 x Glass tray,1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Soft Close door, thermal protection system, child safety lock,
controls lock","220–240V, 50/60Hz,3100W,16A current",Two years parts and labour,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Microwave,Microwave Grill,Microwave Fan Forced,Microwave Static Fan,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA4130MCN,LinearCompact,Active,8017709214234,60cm Linear Compact Speed oven,Linear,Speed,SmartSense Plus - 50 auto menus + 10 personal programs,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"18 incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,TFT,50L,3,50 - 250ºC,,1000W,Built-in,Fully programmable,Vapour Clean,2 x 40 Watt halogen,"1 x Chrome grill insert,1 x Chrome shelves,1 x Glass tray,1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Soft Close door, thermal protection system, child safety lock,
controls lock","220–240V, 50/60Hz,3100W,16A current",Two years parts and labour,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Microwave,Microwave Grill,Microwave Fan Forced,Microwave Static Fan,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA4125M,LinearCompact,Active,8017709214746,60cm Linear Compact Microwave with grill oven,Linear,Microwave with Grill,Easy read display,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,7 incl. Defrost by weight/time,,Large LCD,50L,3,50 - 250ºC,,1000W,Built-in,Delay start and automatic end cooking,Vapour Clean,1 x 40 Watt halogen,"1 x Chrome grill insert,1 x Baker plate",,"Soft Close door, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz,3300W,15A current",Two years parts and labour,,"Grill,Bakers Microwave,Microwave,Microwave Grill,Defrost By Time,Defrost By Weight,Keep Warm"
SFA4140VC,LinearCompact,Active,8017709211080,60cm Linear Compact Combi-Steam oven,Linear,Combi-Steam,SmartSense Plus - 20 auto menus + 10 personal programs,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"16 incl. Sabbath mode, defrost, proving and keep warm",20 SmartSense Plus auto menus + 10 personal programs,Colour Touch TFT,50L,3,30 - 250ºC,1.2L,,Built-in,Fully programmable,Vapour Clean,1 x 40 Watt halogen,"1 x Chrome insert,2 x Chrome shelves,1 x 40mm enamelled baking tray,1 x 20mm stainless steel tray,1 x 40mm perforated stainless steel tray,1 x Sponge","GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Soft Close door, thermal protection system, child safety lock, controls lock, steam stop","220–240V, 50/60Hz,3300W,15A current",Two years parts and labour,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Fan Forced Steam,Steam,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA4140VCB,LinearCompact,Active,8017709211097,60cm Linear Compact Combi-Steam oven,Linear,Combi-Steam,SmartSense Plus - 20 auto menus + 10 personal programs,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel white Stopsol® reflective glass,"16 incl. Sabbath mode, defrost, proving and keep warm",20 SmartSense Plus auto menus + 10 personal programs,Colour Touch TFT,50L,3,30 - 250ºC,1.2L,,Built-in,Fully programmable,Vapour Clean,1 x 40 Watt halogen,"1 x Chrome insert,2 x Chrome shelves,1 x 40mm enamelled baking tray,1 x 20mm stainless steel tray,1 x 40mm perforated stainless steel tray,1 x Sponge","GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Soft Close door, thermal protection system, child safety lock, controls lock, steam stop","220–240V, 50/60Hz,3300W,15A current",Two years parts and labour,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Fan Forced Steam,Steam,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA4140VCN,LinearCompact,Active,8017709211103,60cm Linear Compact Combi-Steam oven,Linear,Combi-Steam,SmartSense Plus - 20 auto menus + 10 personal programs,Soft Close Door,Linear design,Ever Clean enamel,597mmW x 456mmH x 571mmD,Fingerprint proof stainless steel black Stopsol® reflective glass,"16 incl. Sabbath mode, defrost, proving and keep warm",20 SmartSense Plus auto menus + 10 personal programs,Colour Touch TFT,50L,3,30 - 250ºC,1.2L,,Built-in,Fully programmable,Vapour Clean,1 x 40 Watt halogen,"1 x Chrome insert,2 x Chrome shelves,1 x 40mm enamelled baking tray,1 x 20mm stainless steel tray,1 x 40mm perforated stainless steel tray,1 x Sponge","GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Soft Close door, thermal protection system, child safety lock, controls lock, steam stop","220–240V, 50/60Hz,3300W,15A current",Two years parts and labour,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Fan Forced Steam,Steam,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
