,,,,,,,
,60cm Classic Oven,,,,,,
Model #,SFPA6395X,SFPA6390X,SFPA6309X,SFA6309X,SFA6304X,SFA6300X,SFPA6300X
Description,60cm Classic Thermoseal Pyrolytic oven,60cm Classic Thermoseal Pyrolytic oven,60cm Classic Thermoseal Pyrolytic oven,60cm Classic Thermoseal oven,60cm Classic Thermoseal oven,60cm Classic Thermoseal oven,60cm Classic Thermoseal Pyrolytic oven
Aesthetic,Classic,Classic,Classic,Classic,Classic,Classic,Classic
Feature #1,Thermoseal technology,Thermoseal technology,Thermoseal technology,Thermoseal technology,Thermoseal technology,Thermoseal technology,Thermoseal technology
Feature #2,SmartSense Plus - 50 auto menus + 10 personal menus,SmartSense - 20 auto menus,Easy read display,Easy read display,Ergonomic controls,Vapour Clean,Pyrolytic Cleaning
Feature #3,Pyrolytic Cleaning,Pyrolytic Cleaning,Pyrolytic Cleaning,Vapour Clean,Vapour Clean,Ever Clean Enamel,Ever Clean Enamel
Feature #4,Ever Clean Enamel,Ever Clean Enamel,Ever Clean Enamel,Ever Clean Enamel,Ever Clean Enamel,Cool Door technology,Cool Door technology
Feature #5,Soft Close Door,Soft Close Door,,,,,
Dimensions,597mmW x 592mmH x 571mmD,597mmW x 592mmH x 571mmD,597mmW x 592mmH x 571mmD,597mmW x 592mmH x 571mmD,597mmW x 592mmH x 571mmD,597mmW x 592mmH x 571mmD,597mmW x 592mmH x 571mmD
Finish,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","Fingerprint proof stainless steel 
Eclipse high visibility black glass","Fingerprint proof stainless steel 
Eclipse high visibility black glass","Fingerprint proof stainless steel 
Eclipse high visibility black glass","Fingerprint proof stainless steel 
Eclipse high visibility black glass","Fingerprint proof stainless steel 
Eclipse high visibility black glass","Fingerprint proof stainless steel 
Eclipse high visibility black glass"
Total functions,"17 + 50 SmartSense Plus auto menus
incl.  Sabbath mode, defrost, proving and keep warm","16 + 20 SmartSense auto menus
incl.  Sabbath mode, defrost, proving and keep warm","13 incl. Sabbath mode, defrost, proving and keep warm","14 incl. Sabbath mode, defrost, proving and keep warm",9 incl.defrost,10 incl. Defrost and Vapour Clean,8 incl. Pyrolytic
Display,TFT,Large LCD,Compact LCD,Compact LCD,Text on panel,Text on panel,Text on panel
Capacity,79L,79L,79L,79L,79L,79L,79L
Cooking levels,5,5,5,5,5,5,5
Thermostat,30 - 280ºC,50 - 280ºC,30 - 280ºC,30 - 280ºC,50 - 250ºC,50 - 280ºC,50 - 280ºC
Installation,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in
Programmability,Fully programmable,Fully programmable,Fully programmable,Fully programmable,"End of cooking alarm, minute minder",Fully programmable,Fully programmable
Cleaning,Pyrolytic / ECO Pyrolytic,Pyrolytic / ECO Pyrolytic,Pyrolytic / ECO Pyrolytic,Pyrolytic / ECO Pyrolytic,Vapour Clean,"Vapour Clean,  drop down grill",Pyrolytic / ECO Pyrolytic
Lighting,2 x 40W halogen,2 x 40W halogen,2 x 40W halogen,2 x 40W halogen,1 x 40W halogen,2 x 40W halogen,2 x 40W halogen
Supplied accessories,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Partial telescopic guides
1 x Removable roof liner","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Partial telescopic guides
1 x Removable roof liner","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Removable roof liner","2 x Chrome shelves
1 x Chrome grill insert
1 x 40mm enamelled baking tray","2 x Chrome shelves
1 x Chrome grill insert
1 x 40mm enamelled baking tray"
Optional accessories,"PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides"
Safety,"Cool Door technology,thermal protection system, child safety lock, controls lock","Cool Door technology, thermal protection system, child safety lock, controls lock","Cool Door technology, thermal protection system, child safety lock, controls lock","Cool Door technology, thermal protection system, child safety lock, controls lock","Cool Door technology, thermal protection system","Cool Door technology, thermal protection system","Cool Door technology, thermal protection system"
Power,"220–240V, 50/60Hz
3000W
15A Connection","220–240V, 50/60Hz
3000W
15A Connection","220–240V, 50/60Hz
3000W
15A Connection","220–240V, 50/60Hz
3000W
15A Connection","220–240V, 50/60Hz
3000W
15A Connection","220–240V, 50/60Hz
3000W
15A Connection","220–240V, 50/60Hz
3000W
15A Connection"
Warranty,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour
Status,Active,Active,Active,Active,Active,Active,Active
Notes,,,,,,,
Function list (Icons),Base Heat,Base Heat,Convection,Base Heat,Base Heat,Convection,Convection
,Bakers Function,Bakers Function,Fan Forced,Bakers Function,Fan Assisted,Fan Assisted,Eco
,Fan Assisted,Fan Assisted,Supercook,Fan Assisted,Convection,Fan Forced,Fan Assisted
,Convection,Convection,Fan Grill,Convection,Fan Forced,Supercook,Fan Forced
,Fan Forced,Fan Forced,Grill,Fan Forced,Supercook,Eco,Fan Grill
,Supercook,Supercook,Eco,Supercook,Fan Grill,Grill,Grill
,Fan Forced and Grill,Eco,Pyrolytic,Eco,Grill,Fan Grill,Supercook
,Eco,Fan Grill,Eco Pyrolytic,Fan Grill,Vapour Clean,Base Heat,Pyrolytic
,Fan Grill,Grill,Defrost By Time,Grill,Defrost,Vapour Clean,
,Grill,Pyrolytic,Defrost By Weight,Vapour Clean,,Defrost By Time,
,Pyrolytic,Eco Pyrolytic,Proving,Defrost By Time,,,
,Eco Pyrolytic,Defrost By Time,Sabbath Mode,Defrost By Weight,,,
,Defrost By Time,Defrost By Weight,Keep Warm,Proving,,,
,Defrost By Weight,Proving,,Sabbath Mode,,,
,Proving,Sabbath Mode,,,,,
,Sabbath Mode,Keep Warm,,,,,
,Keep Warm,,,,,,
