Model #,PGF30T-1,PGF32I-1,PGF30F,PGF30B,PGA32C,PGA31G-1,PGA32G,SA312XA-1,PGF32I-1,PGF30T-1,PGF32I-1,PGF30F,PGF30B,PGA32C,PGA31G-1,PGA32G,SA312XA-1,PGF32I-1
Status,Current,Current,Current,Current,Current,Current,Current,Current,Current,Current,Current,Current,Current,Current,Current,Current,Current,Current
EAN,8017709143411,8017709138042,8017709141721,8017709138028,8017709165888,8017709165895,8017709165871,N/A,8017709138042,8017709143411,8017709138042,8017709141721,8017709138028,8017709165888,8017709165895,8017709165871,N/A,8017709138042
Description,30cm Classic Domino Teppanyaki Induction Cooktop,30cm Classic Domino Induction Cooktop,30cm Classic Domino Deep Fryer,30cm Classic Domino Electric Barbecue,30cm Classic Domino Ceramic Cooktop,30cm Classic Domino Dual Control Wok Gas Cooktop,30cm Classic Domino 2 Burner Gas Cooktop,30cm 2 Zone Ceramic Cooktop,30cm Classic Domino Cooktop,30cm Linear Domino Teppanyaki Induction Cooktop,30cm Linear Domino Induction Cooktop,30cm Linear Domino Deep Fryer,30cm Linear Domino Electric Barbecue,30cm Linear Domino Ceramic Cooktop,30cm Linear Domino Dual Control Wok Gas Cooktop,30cm Linear Domino 2 Burner Gas Cooktop,30cm 2 Zone Ceramic Cooktop,30cm Linear Domino Cooktop
Aesthetic,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Linear,Linear,Linear,Linear,Linear,Linear,Linear,Linear,Linear
Feature #1,2 zones,2 zones,3.6L Capacity,Indoor BBQ/griddle,2 high speed ceramic zones, 18.6mj/hr triple wok burner,2 burner ,2 high speed ceramic zones,2 high speed induction zones,2 zones,2 zones,3.6L Capacity,Indoor BBQ/griddle,2 high speed ceramic zones, 18.6mj/hr dual control triple wok burner,2 burner ,2 high speed ceramic zones,2 high speed induction zones
Feature #2,9 heat settings per zone + boost ,9 heat settings per zone + boost ,0–180°C electronic thermostat,9 heat settings per zone,9 heat settings per zone,Independent inner/outer burner control,12mj/hr rapid burner,Full heat in 7 seconds,Classic,9 heat settings per zone + boost ,9 heat settings per zone + boost ,0–180°C electronic thermostat,9 heat settings per zone,9 heat settings per zone,Independent inner/outer burner control,12mj/hr rapid burner,Full heat in 7 seconds,Residual heat indicators
Feature #3,Residual heat indicators,Residual heat indicators,Removable tank for easy cleaning,Tilting element for lava rock and easy cleaning,Residual heat indicators,Flame failure device ,Flame failure device ,Residual heat indicators,Residual heat indicators,Residual heat indicators,Residual heat indicators,Removable tank for easy cleaning,Tilting element for volcanic rock and easy cleaning,Residual heat indicators,Flame failure device ,Flame failure device ,Residual heat indicators,Linear design
Feature #4,Solid stainless steel,Stainless steel with black ceramic surface,Stainless steel,"Stainless steel, cast iron trivet",Stainless steel with black ceramic surface,"Stainless steel, cast iron trivet","Stainless steel, cast iron trivet","Black ceramic, bevelled edge",Classic design,Solid stainless steel,Stainless steel with black ceramic surface,Stainless steel,"Stainless steel, cast iron trivet",Stainless steel with black ceramic surface,"Stainless steel, cast iron trivet","Stainless steel, cast iron trivet","Black ceramic, bevelled edge",Boost function
Feature #5,Classic design,Classic design,Classic design,Classic design,Classic design,Classic design,Classic design,,Boost power for each zone,Linear design,Linear design,Linear design,Linear design,Linear design,Linear design,Linear design,,
