Model number,Type,Aesthetic,Description,Description 2,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions,Finish,Installation,device Display,GAS HOB,Capacity gas hob,Gas input,Safety gas hob,Supplied accessories gas hob,ELECTRIC HOB,Capacity electric hob,Safety electric hob,Supplied accessories electric hob,MAIN OVEN,Capacity,Total functions,Auto menus,Door glass,Cooking levels,Thermostat,Programmability,Cleaning,Lighting,Safety,Supplied accessories,Optional accessories,Power,Warranty,Notes,Function list
CPF9IPAN,PortofinoFreestandingCooker90,portofino,90cm Portofino Induction Pyrolytic Freestanding Cooker,"Electric oven, induction hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,Anthracite,Freestanding,LCD display,,,,,,,"Front left 145mmØ 1400W/220W,Rear left 180mmØ 1850W/3000W,Centre 270mmØ 2600W/3700W,Front right 145mmØ 1400W/2200W,Rear right 210mmØ 2300W/3700W","Thermal protection, residual heat indicators",,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 11.4kW, 46A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
CPF9IPBL,PortofinoFreestandingCooker90,portofino,90cm Portofino Induction Pyrolytic Freestanding Cooker,"Electric oven, induction hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,Black,Freestanding,LCD display,,,,,,,"Front left 145mmØ 1400W/220W,Rear left 180mmØ 1850W/3000W,Centre 270mmØ 2600W/3700W,Front right 145mmØ 1400W/2200W,Rear right 210mmØ 2300W/3700W","Thermal protection, residual heat indicators",,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 11.4kW, 46A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
CPF9IPOG,PortofinoFreestandingCooker90,portofino,90cm Portofino Induction Pyrolytic Freestanding Cooker,"Electric oven, induction hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,Olive Green,Freestanding,LCD display,,,,,,,"Front left 145mmØ 1400W/220W,Rear left 180mmØ 1850W/3000W,Centre 270mmØ 2600W/3700W,Front right 145mmØ 1400W/2200W,Rear right 210mmØ 2300W/3700W","Thermal protection, residual heat indicators",,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 11.4kW, 46A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
CPF9IPOR,PortofinoFreestandingCooker90,portofino,90cm Portofino Induction Pyrolytic Freestanding Cooker,"Electric oven, induction hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,Orange,Freestanding,LCD display,,,,,,,"Front left 145mmØ 1400W/220W,Rear left 180mmØ 1850W/3000W,Centre 270mmØ 2600W/3700W,Front right 145mmØ 1400W/2200W,Rear right 210mmØ 2300W/3700W","Thermal protection, residual heat indicators",,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 11.4kW, 46A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
CPF9IPR,PortofinoFreestandingCooker90,portofino,90cm Portofino Induction Pyrolytic Freestanding Cooker,"Electric oven, induction hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,Red,Freestanding,LCD display,,,,,,,"Front left 145mmØ 1400W/220W,Rear left 180mmØ 1850W/3000W,Centre 270mmØ 2600W/3700W,Front right 145mmØ 1400W/2200W,Rear right 210mmØ 2300W/3700W","Thermal protection, residual heat indicators",,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 11.4kW, 46A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
CPF9IPWH,PortofinoFreestandingCooker90,portofino,90cm Portofino Induction Pyrolytic Freestanding Cooker,"Electric oven, induction hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,White,Freestanding,LCD display,,,,,,,"Front left 145mmØ 1400W/220W,Rear left 180mmØ 1850W/3000W,Centre 270mmØ 2600W/3700W,Front right 145mmØ 1400W/2200W,Rear right 210mmØ 2300W/3700W","Thermal protection, residual heat indicators",,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 11.4kW, 46A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
CPF9IPX,PortofinoFreestandingCooker90,portofino,90cm Portofino Induction Pyrolytic Freestanding Cooker,"Electric oven, induction hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,Stainless Steel,Freestanding,LCD display,,,,,,,"Front left 145mmØ 1400W/220W,Rear left 180mmØ 1850W/3000W,Centre 270mmØ 2600W/3700W,Front right 145mmØ 1400W/2200W,Rear right 210mmØ 2300W/3700W","Thermal protection, residual heat indicators",,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 11.4kW, 46A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
CPF9IPYW,PortofinoFreestandingCooker90,portofino,90cm Portofino Induction Pyrolytic Freestanding Cooker,"Electric oven, induction hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,Yellow,Freestanding,LCD display,,,,,,,"Front left 145mmØ 1400W/220W,Rear left 180mmØ 1850W/3000W,Centre 270mmØ 2600W/3700W,Front right 145mmØ 1400W/2200W,Rear right 210mmØ 2300W/3700W","Thermal protection, residual heat indicators",,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 11.4kW, 46A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
CPF9GPAN,PortofinoFreestandingCooker90,portofino,90cm Portofino Pyrolytic Freestanding Cooker,"Electric oven, gas hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,Anthracite,Freestanding,LCD display,,"Front left (wok) 15.0 mj/hr,Rear left 3.6 mj/hr,Front centre 3.6 mj/hr,Rear centre 6.5 mj/hr,Front right 6.5 mj/hr,Rear right 10.8 mj/hr","Set for natural gas, regulator supplied, adapt for ULPG, no regulator required",Flame failure device fitted to each burner,1 x wok stand,,,,,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 4.0kW, 18A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
CPF9GBLA,PortofinoFreestandingCooker90,portofino,90cm Portofino Pyrolytic Freestanding Cooker,"Electric oven, gas hob",Thermoseal technology,Optimal Energy Efficiency,Giant 126L capacity,Rapid preheat,Soft Close Door,900mmW x 600mmD x 900mmH,Black,Freestanding,LCD display,,"Front left (wok) 15.0 mj/hr,Rear left 3.6 mj/hr,Front centre 3.6 mj/hr,Rear centre 6.5 mj/hr,Front right 6.5 mj/hr,Rear right 10.8 mj/hr","Set for natural gas, regulator supplied, adapt for ULPG, no regulator required",Flame failure device fitted to each burner,1 x wok stand,,,,,,126L,16,20 SmartSense,Quadruple glazed door,5,50-260°C,Fully programmable,Pyrolytic,4 x 40W halogen,Thermal protection,"2 x Chrome wire shelf,2 x 40mm enamelled baking tray,1 x Chrome grill insert,1 x GTIP-1 - Partial telescopic guides,1 x Rotisserie kit",,"220-240V, 50/60Hz, 4.0kW, 18A",Five years parts and labour,,"Base Heat,Bakers Function,Convection,Fan Assisted,Fan Forced,Supercook,Eco,Fan Grill,Grill,Rotisserie full,Defrost by time,Defrost by weight,Proofing,Sabbath Mode,Pyrolytic,Eco Pyrolytic"
